Extrapolator Errors:
WARNING 1: for trapNumber['2025'] different geoLocation values (1) '10.1425066,76.2097066' (2) '10.1312825,76.1948562'
WARNING 36: for trapNumber['1063'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.920737,76.2800103'
WARNING 37: for trapNumber['1062'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.920737,76.2800103'
WARNING 38: for trapNumber['1061'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.920737,76.2800103'
WARNING 39: for trapNumber['1060'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9242912,76.2791438'
WARNING 40: for trapNumber['1063'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9206252,76.2799918'
WARNING 41: for trapNumber['1062'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9206252,76.2799918'
WARNING 42: for trapNumber['1061'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9206252,76.2799918'
WARNING 43: for trapNumber['1060'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9206252,76.2799918'
WARNING 44: for trapNumber['1063'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9206062,76.2800169'
WARNING 45: for trapNumber['1062'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9206062,76.2800169'
WARNING 46: for trapNumber['1061'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9206062,76.2800169'
WARNING 47: for trapNumber['1063'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9194168,76.2777805'
WARNING 48: for trapNumber['1062'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9194168,76.2777805'
WARNING 49: for trapNumber['1061'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9194168,76.2777805'
WARNING 50: for trapNumber['1060'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9194168,76.2777805'
WARNING 51: for trapNumber['1063'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9194168,76.2777805'
WARNING 52: for trapNumber['1062'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9194168,76.2777805'
WARNING 53: for trapNumber['1061'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9194168,76.2777805'
WARNING 54: for trapNumber['1063'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9194168,76.2777805'
WARNING 55: for trapNumber['1062'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9194168,76.2777805'
WARNING 56: for trapNumber['1061'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9194168,76.2777805'
WARNING 57: for trapNumber['1060'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9194168,76.2777805'
WARNING 58: for trapNumber['1063'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9194168,76.2777805'
WARNING 59: for trapNumber['1062'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9194168,76.2777805'
WARNING 60: for trapNumber['1061'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9194168,76.2777805'
WARNING 61: for trapNumber['1060'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9194168,76.2777805'
WARNING 62: for trapNumber['1063'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9194168,76.2777805'
WARNING 63: for trapNumber['1061'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9170155,76.2774185'
WARNING 64: for trapNumber['1060'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9170155,76.2774185'
WARNING 65: for trapNumber['1063'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9197577,76.2777805'
WARNING 66: for trapNumber['1062'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9197577,76.2777805'
WARNING 67: for trapNumber['1061'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9197577,76.2777805'
WARNING 68: for trapNumber['1060'] different geoLocation values (1) '9.9207154,76.2800165' (2) '9.9170305,76.2777805'
WARNING 69: for trapNumber['1036'] different geoLocation values (1) '9.885228333333334,76.26072833333333' (2) '9.8793399,76.2645424'
WARNING 70: for trapNumber['1035'] different geoLocation values (1) '9.913198333333334,76.25153166666668' (2) '9.8926388,76.2771207'
WARNING 71: for trapNumber['1038'] different geoLocation values (1) '9.885123333333333,76.26056' (2) '9.897222,76.2679789'
WARNING 72: for trapNumber['1038'] different geoLocation values (1) '9.885123333333333,76.26056' (2) '9.897222,76.2679789'
WARNING 73: for trapNumber['1037'] different geoLocation values (1) '9.885003333333334,76.26067333333334' (2) '9.8793399,76.2645424'
WARNING 74: for trapNumber['1036'] different geoLocation values (1) '9.885228333333334,76.26072833333333' (2) '9.8737997,76.2666364'
WARNING 75: for trapNumber['1036'] different geoLocation values (1) '9.885228333333334,76.26072833333333' (2) '9.8737997,76.2666364'
WARNING 76: for trapNumber['1038'] different geoLocation values (1) '9.885123333333333,76.26056' (2) '9.8737997,76.2666364'
WARNING 77: for trapNumber['1037'] different geoLocation values (1) '9.885003333333334,76.26067333333334' (2) '9.8737997,76.2666364'
WARNING 78: for trapNumber['1035'] different geoLocation values (1) '9.913198333333334,76.25153166666668' (2) '9.8737997,76.2666364'
WARNING 79: for trapNumber['1080'] different geoLocation values (1) '9.9577321,76.2466969' (2) '9.9577233,76.2467061'
WARNING 80: for trapNumber['1079'] different geoLocation values (1) '9.9577321,76.2466969' (2) '9.9577233,76.2467061'
WARNING 81: for trapNumber['1078'] different geoLocation values (1) '9.9577321,76.2466969' (2) '9.9577233,76.2467061'
WARNING 82: for trapNumber['1077'] different geoLocation values (1) '9.9577265,76.2467018' (2) '9.9577233,76.2467061'
WARNING 83: for trapNumber['1080'] different geoLocation values (1) '9.9577321,76.2466969' (2) '9.9577292,76.2466994'
WARNING 84: for trapNumber['1079'] different geoLocation values (1) '9.9577321,76.2466969' (2) '9.9577292,76.2466994'
WARNING 85: for trapNumber['1078'] different geoLocation values (1) '9.9577321,76.2466969' (2) '9.9577292,76.2466994'
WARNING 86: for trapNumber['1077'] different geoLocation values (1) '9.9577265,76.2467018' (2) '9.9577251,76.2466963'
WARNING 87: for trapNumber['1080'] different geoLocation values (1) '9.9577321,76.2466969' (2) '9.9577251,76.2466963'
WARNING 88: for trapNumber['1079'] different geoLocation values (1) '9.9577321,76.2466969' (2) '9.9577251,76.2466963'
WARNING 89: for trapNumber['1078'] different geoLocation values (1) '9.9577321,76.2466969' (2) '9.9577251,76.2466963'
WARNING 90: for trapNumber['1077'] different geoLocation values (1) '9.9577265,76.2467018' (2) '9.9577251,76.2466963'
WARNING 91: for trapNumber['2020'] different geoLocation values (1) '10.0963001,76.3701829' (2) '10.089443,76.3736206'
WARNING 92: for trapNumber['2040'] different geoLocation values (1) '10.0966668,76.3529452' (2) '10.096282,76.3534975'
WARNING 93: for trapNumber['2037'] different geoLocation values (1) '10.0958555,76.3503416' (2) '10.0962,76.3500071'
WARNING 94: for trapNumber['2037'] different geoLocation values (1) '10.0958555,76.3503416' (2) '10.0962,76.3500071'
WARNING 95: for trapNumber['2037'] different geoLocation values (1) '10.0958555,76.3503416' (2) '10.0970945,76.3537501'
WARNING 96: for trapNumber['2037'] different geoLocation values (1) '10.0958555,76.3503416' (2) '10.0959974,76.3495288'
WARNING 97: for trapNumber['2037'] different geoLocation values (1) '10.0958555,76.3503416' (2) '10.0961003,76.3490995'
WARNING 98: for trapNumber['2037'] different geoLocation values (1) '10.0958555,76.3503416' (2) '10.0959731,76.3493041'
WARNING 99: for trapNumber['2037'] different geoLocation values (1) '10.0958555,76.3503416' (2) '10.0966325,76.3492835'
WARNING 100: for trapNumber['2037'] different geoLocation values (1) '10.0958555,76.3503416' (2) '10.0966325,76.3492835'
WARNING 101: for trapNumber['2037'] different geoLocation values (1) '10.0958555,76.3503416' (2) '10.0965482,76.3535091'
WARNING 102: for trapNumber['2037'] different geoLocation values (1) '10.0958555,76.3503416' (2) '10.0961507,76.3534928'
WARNING 103: for trapNumber['2037'] different geoLocation values (1) '10.0958555,76.3503416' (2) '10.0961507,76.3534928'
WARNING 104: for trapNumber['2037'] different geoLocation values (1) '10.0958555,76.3503416' (2) '10.0961507,76.3534928'
WARNING 105: for trapNumber['2037'] different geoLocation values (1) '10.0958555,76.3503416' (2) '10.0954438,76.3516797'
WARNING 106: for trapNumber['2037'] different geoLocation values (1) '10.0958555,76.3503416' (2) '10.0954438,76.3516797'
WARNING 107: for trapNumber['2037'] different geoLocation values (1) '10.0958555,76.3503416' (2) '10.1068558,76.352694'
WARNING 108: for trapNumber['2037'] different geoLocation values (1) '10.0958555,76.3503416' (2) '10.1026407,76.3581209'
WARNING 109: for trapNumber['2037'] different geoLocation values (1) '10.0958555,76.3503416' (2) '10.1026407,76.3581209'
WARNING 110: for trapNumber['2037'] different geoLocation values (1) '10.0958555,76.3503416' (2) '10.1026407,76.3581209'
WARNING 111: for trapNumber['2037'] different geoLocation values (1) '10.0958555,76.3503416' (2) '10.1077708,76.359157'
WARNING 112: for trapNumber['2024'] different geoLocation values (1) '10.0071796,76.3458197' (2) '10.007878333333334,76.35363666666667'
WARNING 113: for trapNumber['2023'] different geoLocation values (1) '10.0071796,76.3458197' (2) '10.007863333333335,76.35366'
WARNING 114: for trapNumber['2022'] different geoLocation values (1) '10.0071796,76.3458197' (2) '10.007863333333335,76.35366'
WARNING 115: for trapNumber['2021'] different geoLocation values (1) '10.0071796,76.3458197' (2) '10.008681666666666,76.35354000000001'
WARNING 116: for trapNumber['2024'] different geoLocation values (1) '10.0071796,76.3458197' (2) '10.0033247,76.3523287'
WARNING 117: for trapNumber['2024'] different geoLocation values (1) '10.0071796,76.3458197' (2) '10.0061857,76.3465433'
WARNING 118: for trapNumber['2024'] different geoLocation values (1) '10.0071796,76.3458197' (2) '10.0068985,76.3472669'
WARNING 119: for trapNumber['2024'] different geoLocation values (1) '10.0071796,76.3458197' (2) '10.0068985,76.3472669'
WARNING 120: for trapNumber['2023'] different geoLocation values (1) '10.0071796,76.3458197' (2) '10.0068985,76.3472669'
WARNING 121: for trapNumber['2022'] different geoLocation values (1) '10.0071796,76.3458197' (2) '10.0062308,76.3476287'
WARNING 122: for trapNumber['2021'] different geoLocation values (1) '10.0071796,76.3458197' (2) '10.0033609,76.3472799'
WARNING 123: for trapNumber['2024'] different geoLocation values (1) '10.0071796,76.3458197' (2) '10.0055888,76.3502635'
WARNING 124: for trapNumber['2023'] different geoLocation values (1) '10.0071796,76.3458197' (2) '10.0055888,76.3502635'
WARNING 125: for trapNumber['1029'] different geoLocation values (1) '9.9489362,76.2516458' (2) '9.9494657,76.2542482'
WARNING 126: for trapNumber['1028'] different geoLocation values (1) '9.9493254,76.2520479' (2) '9.9462065,76.2578688'
WARNING 127: for trapNumber['1030'] different geoLocation values (1) '9.9462065,76.2578688' (2) '9.9455642,76.2506275'
WARNING 128: for trapNumber['1029'] different geoLocation values (1) '9.9489362,76.2516458' (2) '9.9455642,76.2506275'
WARNING 129: for trapNumber['1028'] different geoLocation values (1) '9.9493254,76.2520479' (2) '9.9455642,76.2506275'
WARNING 130: for trapNumber['1054'] different geoLocation values (1) '9.9455642,76.2506275' (2) '9.9452232,76.2506275'
WARNING 131: for trapNumber['1029'] different geoLocation values (1) '9.9489362,76.2516458' (2) '9.9452232,76.2506275'
WARNING 132: for trapNumber['1054'] different geoLocation values (1) '9.9455642,76.2506275' (2) '9.9593305,76.2490751'
WARNING 133: for trapNumber['1027'] different geoLocation values (1) '9.949352,76.2514177' (2) '9.9462954,76.2545892'
WARNING 134: for trapNumber['1024'] different geoLocation values (1) '9.9461761,76.2522376' (2) '9.9554855,76.255163'
WARNING 135: for trapNumber['1027'] different geoLocation values (1) '9.949352,76.2514177' (2) '9.9465446,76.2505608'
WARNING 136: for trapNumber['1050'] different geoLocation values (1) '9.8168536,76.2804831' (2) '9.8165593,76.2770127'
WARNING 137: for trapNumber['1047'] different geoLocation values (1) '9.8168536,76.2804831' (2) '9.9482086,76.249822'
WARNING 138: for trapNumber['1049'] different geoLocation values (1) '9.8168536,76.2804831' (2) '9.8167358,76.2803539'
WARNING 139: for trapNumber['1048'] different geoLocation values (1) '9.8168536,76.2804831' (2) '9.8167358,76.2803539'
WARNING 140: for trapNumber['1050'] different geoLocation values (1) '9.8168536,76.2804831' (2) '9.8167317,76.2803701'
WARNING 141: for trapNumber['1069'] different geoLocation values (1) '9.8348681,76.2974602' (2) '9.8348721,76.2974572'
WARNING 142: for trapNumber['1071'] different geoLocation values (1) '9.8527726,76.3069354' (2) '9.8468042,76.303776'
WARNING 143: for trapNumber['1070'] different geoLocation values (1) '9.8348721,76.2974572' (2) '9.8348772,76.2974528'
WARNING 144: for trapNumber['1072'] different geoLocation values (1) '9.8438212,76.3021963' (2) '9.8867917,76.3073254'
WARNING 145: for trapNumber['2035'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1024393,76.2882782'
WARNING 146: for trapNumber['2033'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1024393,76.2882782'
WARNING 147: for trapNumber['2036'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1024393,76.2882782'
WARNING 148: for trapNumber['2035'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1031988,76.290088'
WARNING 149: for trapNumber['2033'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1044578,76.2794208'
WARNING 150: for trapNumber['2036'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1024426,76.2957787'
WARNING 151: for trapNumber['2035'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1024426,76.2957787'
WARNING 152: for trapNumber['2034'] different geoLocation values (1) '10.1024393,76.2882782' (2) '10.1024426,76.2957787'
WARNING 153: for trapNumber['2033'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1024426,76.2957787'
WARNING 154: for trapNumber['2036'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1023362,76.2960949'
WARNING 155: for trapNumber['2035'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1023362,76.2960949'
WARNING 156: for trapNumber['2033'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.094274,76.2896653'
WARNING 157: for trapNumber['2036'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1025003,76.2897261'
WARNING 158: for trapNumber['2035'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1022044,76.290812'
WARNING 159: for trapNumber['2034'] different geoLocation values (1) '10.1024393,76.2882782' (2) '10.1022044,76.290812'
WARNING 160: for trapNumber['2033'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1027809,76.2882782'
WARNING 161: for trapNumber['2035'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.0951734,76.2861063'
WARNING 162: for trapNumber['2036'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1022044,76.290812'
WARNING 163: for trapNumber['2034'] different geoLocation values (1) '10.1024393,76.2882782' (2) '10.0951734,76.2861063'
WARNING 164: for trapNumber['2033'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.0951734,76.2861063'
WARNING 165: for trapNumber['2035'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1022044,76.290812'
WARNING 166: for trapNumber['2036'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1022044,76.290812'
WARNING 167: for trapNumber['2033'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1022044,76.290812'
WARNING 168: for trapNumber['2036'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1021891,76.29045'
WARNING 169: for trapNumber['2035'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1021891,76.29045'
WARNING 170: for trapNumber['2034'] different geoLocation values (1) '10.1024393,76.2882782' (2) '10.1021891,76.29045'
WARNING 171: for trapNumber['2033'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1021891,76.29045'
WARNING 172: for trapNumber['2036'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1022019,76.2908027'
WARNING 173: for trapNumber['2035'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1022019,76.2908027'
WARNING 174: for trapNumber['2034'] different geoLocation values (1) '10.1024393,76.2882782' (2) '10.1022019,76.2908027'
WARNING 175: for trapNumber['2034'] different geoLocation values (1) '10.1024393,76.2882782' (2) '10.1063743,76.3005847'
WARNING 176: for trapNumber['2034'] different geoLocation values (1) '10.1024393,76.2882782' (2) '10.1027657,76.2879162'
WARNING 177: for trapNumber['2035'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1027657,76.2879162'
WARNING 178: for trapNumber['2033'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1027657,76.2879162'
WARNING 179: for trapNumber['2033'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1031226,76.2882782'
WARNING 180: for trapNumber['2034'] different geoLocation values (1) '10.1024393,76.2882782' (2) '10.1031226,76.2882782'
WARNING 181: for trapNumber['2035'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1025613,76.2911739'
WARNING 182: for trapNumber['2036'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1031226,76.2882782'
WARNING 183: for trapNumber['2035'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1064962,76.3034802'
WARNING 184: for trapNumber['2036'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1017712,76.2886401'
WARNING 185: for trapNumber['2033'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1017712,76.2886401'
WARNING 186: for trapNumber['2034'] different geoLocation values (1) '10.1024393,76.2882782' (2) '10.1017712,76.2886401'
WARNING 187: for trapNumber['2036'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1017712,76.2886401'
WARNING 188: for trapNumber['2035'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1017712,76.2886401'
WARNING 189: for trapNumber['2035'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1017712,76.2886401'
WARNING 190: for trapNumber['2034'] different geoLocation values (1) '10.1024393,76.2882782' (2) '10.1017712,76.2886401'
WARNING 191: for trapNumber['2033'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1017712,76.2886401'
WARNING 192: for trapNumber['2035'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1061546,76.3034802'
WARNING 193: for trapNumber['2033'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1017712,76.2886401'
WARNING 194: for trapNumber['2034'] different geoLocation values (1) '10.1024393,76.2882782' (2) '10.1017712,76.2886401'
WARNING 195: for trapNumber['2036'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1041757,76.3072354'
WARNING 196: for trapNumber['2034'] different geoLocation values (1) '10.1024393,76.2882782' (2) '10.1073589,76.2945547'
WARNING 197: for trapNumber['2035'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1051551,76.2872659'
WARNING 198: for trapNumber['2033'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1038054,76.2920263'
WARNING 199: for trapNumber['2036'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1017102,76.2871922'
WARNING 200: for trapNumber['2035'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1017102,76.2871922'
WARNING 201: for trapNumber['2034'] different geoLocation values (1) '10.1024393,76.2882782' (2) '10.1017102,76.2871922'
WARNING 202: for trapNumber['2033'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1044309,76.3031183'
WARNING 203: for trapNumber['2033'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.107131,76.2861063'
WARNING 204: for trapNumber['2036'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.107131,76.2861063'
WARNING 205: for trapNumber['2034'] different geoLocation values (1) '10.1024393,76.2882782' (2) '10.107131,76.2861063'
WARNING 206: for trapNumber['2036'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1089771,76.2861212'
WARNING 207: for trapNumber['2035'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1089771,76.2861212'
WARNING 208: for trapNumber['2034'] different geoLocation values (1) '10.1024393,76.2882782' (2) '10.1070909,76.2974896'
WARNING 209: for trapNumber['2033'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.093392,76.2739608'
WARNING 210: for trapNumber['2036'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1030158,76.2857443'
WARNING 211: for trapNumber['2034'] different geoLocation values (1) '10.1024393,76.2882782' (2) '10.107131,76.2861063'
WARNING 212: for trapNumber['2035'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.099049,76.2945774'
WARNING 213: for trapNumber['2033'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1081609,76.2918484'
WARNING 214: for trapNumber['2033'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1081609,76.2918484'
WARNING 215: for trapNumber['2035'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1070952,76.2974962'
WARNING 216: for trapNumber['2034'] different geoLocation values (1) '10.1024393,76.2882782' (2) '10.1094438,76.2860383'
WARNING 217: for trapNumber['2034'] different geoLocation values (1) '10.1024393,76.2882782' (2) '10.1094438,76.2860383'
WARNING 218: for trapNumber['2033'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1094438,76.2860383'
WARNING 219: for trapNumber['2036'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.1094438,76.2860383'
WARNING 220: for trapNumber['2035'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.107131,76.2861063'
WARNING 221: for trapNumber['2035'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.107131,76.2861063'
WARNING 222: for trapNumber['2034'] different geoLocation values (1) '10.1024393,76.2882782' (2) '10.107131,76.2861063'
WARNING 223: for trapNumber['2036'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.107131,76.2861063'
WARNING 224: for trapNumber['2036'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.107131,76.2861063'
WARNING 225: for trapNumber['2035'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.107131,76.2861063'
WARNING 226: for trapNumber['2033'] different geoLocation values (1) '10.1065941,76.2976892' (2) '10.107131,76.2861063'
WARNING 227: for trapNumber['1022'] different geoLocation values (1) '9.9558544,76.2520758' (2) '9.9494657,76.2542482'
WARNING 228: for trapNumber['1022'] different geoLocation values (1) '9.9558544,76.2520758' (2) '9.9462065,76.2578688'
WARNING 229: for trapNumber['1023'] different geoLocation values (1) '9.9493496,76.2514727' (2) '9.9455642,76.2506275'
WARNING 230: for trapNumber['1020'] different geoLocation values (1) '9.9493742,76.2513748' (2) '9.9462065,76.2578688'
WARNING 231: for trapNumber['1023'] different geoLocation values (1) '9.9493496,76.2514727' (2) '9.9510954,76.2524379'
WARNING 232: for trapNumber['1022'] different geoLocation values (1) '9.9558544,76.2520758' (2) '9.9584048,76.2458308'
WARNING 233: for trapNumber['1023'] different geoLocation values (1) '9.9493496,76.2514727' (2) '9.9462065,76.2578688'
WARNING 234: for trapNumber['2015'] different geoLocation values (1) '9.959261,76.3196758' (2) '9.9593435,76.3196408'
WARNING 235: for trapNumber['2029'] different geoLocation values (1) '10.1071338,76.3620527' (2) '10.1082053,76.360339'
WARNING 236: for trapNumber['1065'] different geoLocation values (1) '9.9606584,76.2527379' (2) '9.9571899,76.2507086'
WARNING 237: for trapNumber['1064'] different geoLocation values (1) '9.9606579,76.2527628' (2) '9.9571899,76.2507086'
WARNING 238: for trapNumber['1065'] different geoLocation values (1) '9.9606584,76.2527379' (2) '9.9609366,76.2527111'
WARNING 239: for trapNumber['1064'] different geoLocation values (1) '9.9606579,76.2527628' (2) '9.9571708,76.2507287'
